year,previous_division,previous_division_id,current_region,current_region_id,estimate
2018,South Atlantic,D5,Midwest,R2,198853
2018,South Atlantic,D5,Northeast,R1,239216
2018,South Atlantic,D5,South,R3,973104
2018,South Atlantic,D5,West,R4,256318
2018,West North Central,D4,Midwest,R2,241676
2018,West North Central,D4,Northeast,R1,22641
2018,West North Central,D4,South,R3,182839
2018,West North Central,D4,West,R4,123745
2018,West South Central,D7,Midwest,R2,121408
2018,West South Central,D7,Northeast,R1,54704
2018,West South Central,D7,South,R3,355704
2018,West South Central,D7,West,R4,192848
2019,East North Central,D3,Midwest,R2,307933
2019,East North Central,D3,Northeast,R1,68434
2019,East North Central,D3,South,R3,367230
2019,East North Central,D3,West,R4,153562
2019,East South Central,D6,Midwest,R2,86151
2019,East South Central,D6,Northeast,R1,24011
2019,East South Central,D6,South,R3,255458
2019,East South Central,D6,West,R4,50797
2019,Middle Atlantic,D2,Midwest,R2,91922
2019,Middle Atlantic,D2,Northeast,R1,310654
2019,Middle Atlantic,D2,South,R3,397776
2019,Middle Atlantic,D2,West,R4,125741
2019,Mountain,D8,Midwest,R2,113557
2019,Mountain,D8,Northeast,R1,40114
2019,Mountain,D8,South,R3,233172
2019,Mountain,D8,West,R4,367554
2019,New England,D1,Midwest,R2,33542
2019,New England,D1,Northeast,R1,192024
2019,New England,D1,South,R3,126044
2019,New England,D1,West,R4,66017
2019,Pacific,D9,Midwest,R2,124854
2019,Pacific,D9,Northeast,R1,93125
2019,Pacific,D9,South,R3,335360
2019,Pacific,D9,West,R4,534244
2019,South Atlantic,D5,Midwest,R2,206158
2019,South Atlantic,D5,Northeast,R1,242632
2019,South Atlantic,D5,South,R3,976344
2019,South Atlantic,D5,West,R4,251364
2019,West North Central,D4,Midwest,R2,243650
2019,West North Central,D4,Northeast,R1,23810
2019,West North Central,D4,South,R3,143661
2019,West North Central,D4,West,R4,112417
2019,West South Central,D7,Midwest,R2,116056
2019,West South Central,D7,Northeast,R1,53463
2019,West South Central,D7,South,R3,337545
2019,West South Central,D7,West,R4,191961
